ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
borong-i-1-1,borong-i-1,ni,0,false,expert,,,,
borong-where-1-1,borong-where-1,daaŋeŋ,1,false,expert,,,,
borong-thou-1-1,borong-thou-1,gi,2,false,expert,,,,
borong-itsflower-1-1,borong-itsflower-1,dzura-,3,false,expert,,,,
borong-we-1-1,borong-we-1,nono,4,false,expert,,,,
borong-hethrows-1-1,borong-hethrows-1,mesao-,5,false,expert,,,,
borong-hesays-1-1,borong-hesays-1,dzo-,6,false,expert,,,,
borong-itswing-1-1,borong-itswing-1,eŋgaŋ-,7,false,expert,,,,
borong-hegivesme-1-1,borong-hegivesme-1,non-,8,false,expert,,,,
borong-dull-1-1,borong-dull-1,dzitakpaak,9,false,expert,,,,
borong-hesleeps-1-1,borong-hesleeps-1,e-,10,false,expert,,,,
borong-lake-1-1,borong-lake-1,aŋgoŋ,11,false,expert,,,,
borong-heeats-1-1,borong-heeats-1,ne-,12,false,expert,,,,
borong-work-1-1,borong-work-1,gawoŋ,13,false,expert,,,,
borong-hestands-1-1,borong-hestands-1,nan-,14,false,expert,,,,
borong-itseye-1-1,borong-itseye-1,dzaa-,15,false,expert,,,,
borong-hebitesit-1-1,borong-hebitesit-1,ki-,16,false,expert,,,,
borong-spear-1-1,borong-spear-1,wasak,17,false,expert,,,,
borong-all-1-1,borong-all-1,kuuya,18,false,expert,,,,
borong-hisbrother-1-1,borong-hisbrother-1,dat-,19,false,expert,,,,
borong-black-1-1,borong-black-1,indzaŋa,20,false,expert,,,,
borong-shesews-1-1,borong-shesews-1,euŋme-,21,false,expert,,,,
borong-that-1-1,borong-that-1,lo,22,false,expert,,,,
borong-heholds-1-1,borong-heholds-1,me-,23,false,expert,,,,
borong-moon-1-1,borong-moon-1,koiŋ,24,false,expert,,,,
borong-clothing-1-1,borong-clothing-1,opo,25,false,expert,,,,
borong-green-1-1,borong-green-1,asoŋ asoŋ,26,false,expert,,,,
borong-hedigs-1-1,borong-hedigs-1,toguŋken-,27,false,expert,,,,
borong-many-1-1,borong-many-1,mamagu,28,false,expert,,,,
borong-itsbreath-1-1,borong-itsbreath-1,osoŋgoŋ,29,false,expert,,,,
borong-white-1-1,borong-white-1,tataaŋkota,30,false,expert,,,,
borong-itsfruit-1-1,borong-itsfruit-1,oŋ-,31,false,expert,,,,
borong-night-1-1,borong-night-1,ketek,32,false,expert,,,,
borong-hevomits-1-1,borong-hevomits-1,lon-,33,false,expert,,,,
borong-red-1-1,borong-red-1,osoga,34,false,expert,,,,
borong-itsskin-1-1,borong-itsskin-1,sele-,35,false,expert,,,,
borong-yellow-1-1,borong-yellow-1,gogookota,36,false,expert,,,,
borong-heblows-1-1,borong-heblows-1,uu-,37,false,expert,,,,
